name,kind,year,price,fuel_kind,km/l,car_output,torque,cc,engine,driving_system,gear,full_length,full_height,full_width,range
애스턴마틴 DB11 볼란테,스포츠카 컨버터블,2022,"28,500만원",가솔린,"복합 도심 , 고속",535hp 엔진,68.9kg.m 엔진,"3,982cc",V8 트윈터보,FR,자동8단,"4,750mm","1,300mm","1,950mm","2,805mm"
렉서스 UX 일렉트릭,준중형 SUV,2022,"5,490만원",전기,233km 1회 충전 시,"복합 4.7km/kWh 도심 5, 고속 4.3",150kW 모터 201hp (단순환산치),300Nm 모터 30.6kg.m (단순환산치),54.3kWh 배터리,FF,자동1단,"4,495mm","1,525mm","1,840mm","2,640mm"
렉서스 UX F 스포츠 하이브리드,준중형 SUV,2023,"5,640만원","가솔린, 하이브리드","복합 16.7km/ℓ 도심 17.2, 고속 16.2",183hp/146hp 합산/엔진,19.2kg.m 엔진,"1,987cc",I4 자연흡기,FF,CVT,"4,495mm","1,520mm","1,840mm","2,640mm"
테슬라 모델S,준대형 세단,2023,"12,806~14,106만원",전기,474~555km 1회 충전 시,"복합 4.1~4.5km/kWh 도심 , 고속","500~760kW 모터 670~1,018hp (단순환산치)",100kWh 배터리,AWD,자동1단,"5,021mm","1,431mm","1,987mm","2,960mm",
마세라티 MC20 첼로,스포츠카 컨버터블,2023,"38,300~53,360만원",가솔린,"복합 7.1km/ℓ 도심 6, 고속 9.1",630hp 엔진,73.4kg.m 엔진,"2,992cc",V6 트윈터보,MR,DCT8단,"4,670mm","1,215mm","1,965mm","2,700mm"
BMW X4 M,중형 SUV,2023,"12,610만원",가솔린,"복합 7.8km/ℓ 도심 6.8, 고속 9.3",510hp 엔진,66.3kg.m 엔진,"2,993cc",I6 트윈터보,AWD,토크컨버터8단,"4,755mm","1,620mm","1,925mm","2,865mm"
BMW 3시리즈 투어링,중형 왜건,2023,"5,740~9,050만원","가솔린, 디젤","복합 9.6~14.2km/ℓ 도심 8.3~12.8, 고속 11.9~16.4",184~387hp 엔진,30.6~51kg.m 엔진,"1,995~2,998cc","I4, I6 싱글터보","FR, AWD",자동8단,"4,713~4,714mm","1,440mm","1,827mm","2,851mm"
BMW M8 그란쿠페,대형 쿠페,2023,"24,040만원",가솔린,"복합 7.3km/ℓ 도심 6.4, 고속 8.9",625hp 엔진,76.5kg.m 엔진,"4,395cc",V8 트윈터보,AWD,자동8단,"5,095mm","1,440mm","1,935mm","3,023mm"
르노코리아 XM3,소형 SUV,2023,"2,023~2,834만원",가솔린,"복합 13.2~13.8km/ℓ 도심 11.8~12.3, 고속 15.3~16.3",123~152hp 엔진,15.8~26kg.m 엔진,"1,332~1,598cc",I4 싱글터보,FF,"CVT, DCT7단","4,570mm","1,570mm","1,820mm","2,720mm"
볼보 V60 크로스 컨트리,중형 왜건,2023,"5,530~6,160만원",가솔린,"복합 9.9km/ℓ 도심 8.7, 고속 12.1",250hp 엔진,35.7kg.m 엔진,"1,969cc",I4 싱글터보,AWD,자동8단,"4,785mm","1,490mm","1,850mm","2,875mm"
폭스바겐 아테온,중형 세단,2022,"5,490~5,981만원",디젤,"복합 13.8~15.5km/ℓ 도심 12.4~13.7, 고속 16.2~18.5",200hp 엔진,40.8kg.m 엔진,"1,968cc",I4 싱글터보,"FF, AWD",DCT7단,"4,865mm","1,440mm","1,870mm","2,840mm"
람보르기니 우라칸 에보 스파이더,스포츠카 컨버터블,2020,"32,890~38,940만원",가솔린,"복합 5.8~6.2km/ℓ 도심 5.1~5.5, 고속 7~7.3",610~640hp 엔진,57.1~61.2kg.m 엔진,"5,204cc",V10 자연흡기,"MR, AWD",DCT7단,"4,520mm","1,180mm","1,933mm","2,620mm"
포드 익스페디션,대형 SUV,2023,"11,270만원",가솔린,"복합 7.4km/ℓ 도심 6.6, 고속 8.8",405hp 엔진,66kg.m 엔진,"3,496cc",V6 트윈터보,4WD,자동10단,"5,335mm","1,945mm","2,075mm","3,110mm"
BMW X2,준중형 SUV,2023,"5,520~6,970만원",가솔린,"복합 9.8km/ℓ 도심 8.6~8.8, 고속 11.5~11.8",192~306hp 엔진,28.5~45.9kg.m 엔진,"1,998cc",I4 싱글터보,AWD,토크컨버터8단,"4,360mm","1,525~1,526mm","1,824~1,825mm","2,670mm"
KG 모빌리티 티볼리 에어,소형 SUV,2024,"2,312~2,719만원",가솔린,"복합 11.9~12km/ℓ 도심 10.9, 고속 13.2~13.5",163hp 엔진,26.5kg.m 엔진,"1,497cc",I4 싱글터보,FF,자동6단,"4,480mm","1,645~1,660mm","1,810mm","2,600mm"
마세라티 MC20,스포츠카 쿠페,2023,"33,700만원",가솔린,"복합 7km/ℓ 도심 5.9, 고속 9.1",630hp 엔진,73.4kg.m 엔진,"2,992cc",V6 트윈터보,MR,DCT8단,"4,670mm","1,225mm","1,965mm","2,700mm"
포르쉐 911 터보 카브리올레,스포츠카 컨버터블,2021,"29,390만원",가솔린,"복합 6.8km/ℓ 도심 , 고속",662hp 엔진,81.6kg.m 엔진,"3,745cc",F6 트윈터보,AWD,자동8단,"4,535mm","1,300mm","1,900mm","2,450mm"
포르쉐 911 카레라 카브리올레,스포츠카 컨버터블,2020,"16,350~18,960만원",가솔린,"복합 7.9~8.2km/ℓ 도심 , 고속",392~444hp 엔진,45.9~54.1kg.m 엔진,"2,981cc",F6 트윈터보,"RR, AWD",DCT8단,"4,520mm","1,300mm","1,850mm","2,450mm"
BMW M4 컨버터블,중형 컨버터블,2024,"13,930만원",가솔린,"복합 8.3km/ℓ 도심 7.2, 고속 10.2",510hp 엔진,66.3kg.m 엔진,"2,993cc",I6 트윈터보,AWD,자동8단,"4,795mm","1,400mm","1,885mm","2,855mm"
토요타 캠리,중형 세단,2023,"3,768만원",가솔린,"복합 12.3km/ℓ 도심 10.7, 고속 14.9",207hp 엔진,24.8kg.m 엔진,"2,487cc",I4 자연흡기,FF,자동8단,"4,880mm","1,445mm","1,840mm","2,825mm"
아우디 A8,대형 세단,2023,"14,252만원",디젤,"복합 11.4km/ℓ 도심 10, 고속 13.7",286hp 엔진,61.1kg.m 엔진,"2,967cc",V6 싱글터보,AWD,자동8단,"5,190mm","1,510mm","1,945mm","2,998mm"
아우디 RS7,준대형 쿠페,2023,"17,142만원",가솔린,"복합 7.4km/ℓ 도심 6.2, 고속 9.5",600hp 엔진,81.5kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"5,010mm","1,435mm","1,950mm","2,929mm"
마이브 M1,경형 해치백,2023,"1,892만원",전기,57km 1회 충전 시,"복합 5.5km/kWh 도심 6, 고속 5",13kW 모터 17hp (단순환산치),90Nm 모터 9.2kg.m (단순환산치),10kWh 배터리,RR,자동1단,"2,845mm","1,565mm","1,500mm","1,815mm"
마세라티 기블리,준대형 세단,2022,"11,560~18,450만원",가솔린,"복합 6.5~8.9km/ℓ 도심 5.6~8, 고속 8.2~10.3",330~580hp 엔진,45.9~74.5kg.m 엔진,"1,995~3,799cc","I4, V6, V8 트윈터보","FR, AWD",자동8단,"4,970~4,975mm","1,480~1,485mm","1,945mm","3,000mm"
폴스타 2,중형 세단,2022,"5,490~5,990만원",전기,334~417km 1회 충전 시,"복합 3.8~4.8km/kWh 도심 4~5.1, 고속 3.6~4.5",170~300kW 모터 228~402hp (단순환산치),330~660Nm 모터 33.7~67.3kg.m (단순환산치),78kWh 배터리,"FF, AWD",자동1단,"4,605mm","1,480mm","1,860mm","2,735mm"
메르세데스-벤츠 AMG GLE 쿠페,준대형 SUV,2023,"15,540~19,690만원",가솔린,"복합 6.7~8.3km/ℓ 도심 6.1~7.7, 고속 7.6~9",435~612hp 엔진,53~86.6kg.m 엔진,"2,999~3,982cc","I6, V8 트윈터보",AWD,자동9단,"4,960mm","1,715mm","2,020mm","2,995mm"
아우디 A3 세단,준중형 세단,2023,"4,118~4,510만원",가솔린,"복합 13km/ℓ 도심 11.4, 고속 15.5",204hp 엔진,30.5kg.m 엔진,"1,984cc",I4 싱글터보,FF,자동7단,"4,495~4,505mm","1,425mm","1,815mm","2,634mm"
람보르기니 우루스,대형 SUV,2021,"25,990만원",가솔린,"복합 6.3km/ℓ 도심 5.4, 고속 7.8",650hp 엔진,86.7kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"5,112mm","1,638mm","2,016mm","3,003mm"
볼보 XC90 플러그인 하이브리드,준대형 SUV,2023,"11,470만원","전기, 가솔린, 하이브리드","복합 11km/ℓ 도심 10.4, 고속 11.7",462hp/317hp 합산/엔진,72.3kg.m/40.8kg.m 합산/엔진,"1,969cc",l4 싱글터보,AWD,자동8단,"4,955mm","1,765mm","1,960mm","2,984mm"
푸조 2008,소형 SUV,2024,디젤,"복합 도심 , 고속",130hp 엔진,30.6kg.m 엔진,"1,499cc",I4 싱글터보,FF,자동8단,"4,300mm","1,550mm","1,770mm","2,605mm",
BMW 3시리즈 플러그인 하이브리드,중형 세단,2023,"6,850~7,300만원","전기, 가솔린, 하이브리드","복합 11km/ℓ 도심 10.1, 고속 12.3",292hp/184hp/80kW 합산/엔진/모터,42.8kg.m/35.7kg.m/265Nm 합산/엔진/모터,"1,998cc",I4 싱글터보,FR,자동8단,"4,713mm","1,444mm","1,827mm","2,851mm"
현대 투싼,준중형 SUV,2023,"2,603~3,822만원","가솔린, 디젤","복합 11~14.5km/ℓ 도심 10.2~13, 고속 12~16.8",180~184hp 엔진,27~42.5kg.m 엔진,"1,598~1,998cc",I4 싱글터보,"FF, AWD","자동8단, DCT7단","4,630~4,640mm","1,665mm","1,865mm","2,755mm"
BMW i7,대형 세단,2023,"21,570~21,870만원",전기,438km 1회 충전 시,"복합 3.7km/kWh 도심 3.6, 고속 3.8",400kW 모터 536hp (단순환산치),745Nm 모터 76.0kg.m (단순환산치),105.7kWh 배터리,AWD,자동1단,"5,390mm","1,545mm","1,950mm","3,215mm"
렉서스 NX F 스포츠 플러그인 하이브리드,중형 SUV,2022,"8,200만원","전기, 가솔린, 하이브리드","복합 14.4km/ℓ 도심 15, 고속 13.7",307hp/182hp 합산/엔진,23.1kg.m 엔진,"2,487cc",I4 자연흡기,AWD,CVT,"4,660mm","1,670mm","1,865mm","2,690mm"
메르세데스-벤츠 S클래스,대형 세단,2023,"14,780~24,310만원","가솔린, 디젤","복합 7.8~12km/ℓ 도심 6.6~10.4, 고속 10~14.7",286~503hp 엔진,51~71.4kg.m 엔진,"2,925~3,982cc","I6, V8 트윈터보","FR, AWD",자동9단,"5,180~5,320mm","1,505mm","1,920~1,955mm","3,106~3,216mm"
애스턴마틴 발할라,스포츠카 쿠페,2020,"가솔린, 하이브리드","복합 도심 , 고속",937hp/740hp 합산/엔진,102kg.m 합산,"3,997cc",V8 트윈터보,MR,DCT8단,,,,,
기아 EV9,준대형 SUV,2024,"7,337~8,826만원",전기,443~501km 1회 충전 시,"복합 3.8~4.2km/kWh 도심 4.1~4.7, 고속 3.3~3.6",150~283kW 모터 201~379hp (단순환산치),350~700Nm 모터 35.7~71.4kg.m (단순환산치),99.8kWh 배터리,"AWD, RR",자동1단,"5,010~5,015mm","1,755~1,780mm","1,980mm","3,100mm"
렉서스 RX 플러그인 하이브리드,준대형 SUV,2023,"10,993만원","전기, 가솔린, 하이브리드","복합 14km/ℓ 도심 14.5, 고속 13.4",309hp/182hp 합산/엔진,23.1kg.m 엔진,"2,487cc",I4 자연흡기,AWD,CVT,"4,890mm","1,695mm","1,920mm","2,850mm"
롤스로이스 팬텀 EWB,대형 세단,2023,"82,600만원",가솔린,"복합 5.8km/ℓ 도심 4.8, 고속 7.8",563hp 엔진,91.8kg.m 엔진,"6,749cc",V12 트윈터보,FR,자동8단,"5,990mm","1,656mm","2,018mm","3,772mm"
아우디 S6,준대형 세단,2023,"10,997만원",디젤,"복합 11.5km/ℓ 도심 10.2, 고속 13.6",344hp 엔진,71.3kg.m 엔진,"2,967cc",V6 트윈터보,AWD,자동8단,"4,955mm","1,450mm","1,885mm","2,928mm"
랜드로버 레인지로버 LWB,대형 SUV,2023,"21,007~29,247만원","가솔린, 디젤","복합 6.8~10.1km/ℓ 도심 5.6~8.8, 고속 9~12.3",350~530hp 엔진,71.4~76.5kg.m 엔진,"2,997~4,395cc","I6, V8 트윈터보",AWD,자동8단,"5,252mm","1,870mm","2,003mm","3,197mm"
SS모터스 젤라 EV,중형 트럭,2022,"4,180만원",전기,194km 1회 충전 시,"복합 2.6km/kWh 도심 2.9, 고속 2.3",100kW 모터 134hp (단순환산치),230Nm 모터 23.5kg.m (단순환산치),66.8kWh 배터리,RR,자동1단,"5,450mm","2,050mm","1,770mm","2,800mm"
혼다 오딧세이,대형 RV,2023,"6,050만원",가솔린,"복합 9km/ℓ 도심 7.7, 고속 11.2",284hp 엔진,36.2kg.m 엔진,"3,471cc",V6 자연흡기,FF,자동10단,"5,235mm","1,765mm","1,995mm","3,000mm"
토요타 GR 수프라,스포츠카 쿠페,2023,"7,980만원",가솔린,"복합 10.2km/ℓ 도심 9.1, 고속 12",382hp 엔진,51kg.m 엔진,"2,998cc",I6 싱글터보,FR,자동8단,"4,380mm","1,305mm","1,855mm","2,470mm"
지프 랭글러 4XE,중형 SUV,2023,"9,780~11,300만원","전기, 가솔린, 하이브리드","복합 12.7km/ℓ 도심 12.7, 고속 12.7",375hp/272hp/100kW 합산/엔진/모터,65kg.m/40.8kg.m/53Nm 합산/엔진/모터,"1,995cc",I4 싱글터보,AWD,자동8단,"4,880mm","1,850mm","1,895~1,935mm","3,010mm"
현대 베뉴,소형 SUV,2023,"2,146~2,413만원",가솔린,"복합 13.3~13.7km/ℓ 도심 12.4~12.7, 고속 14.7~15.2",123hp 엔진,15.7kg.m 엔진,"1,598cc",I4 자연흡기,FF,CVT,"4,040mm","1,565~1,585mm","1,770mm","2,520mm"
페라리 296 GTB,스포츠카 쿠페,2022,"39,800만원","전기, 가솔린, 하이브리드","복합 15.6km/ℓ 도심 , 고속",830hp/663hp/122kW 합산/엔진/모터,75.4kg.m 엔진,"2,992cc",V6 자연흡기,MR,DCT8단,"4,565mm","1,187mm","1,958mm","2,600mm"
현대 스타리아,대형 RV,2023,"2,596~4,409만원","LPG, 디젤","복합 6.5~12.3km/ℓ 도심 5.8~11.6, 고속 7.7~13.2",177~240hp 엔진,32~44kg.m 엔진,"2,199~3,470cc","V6, I4 자연흡기","FF, AWD","자동8단, 수동6단","5,255mm","1,990~2,000mm","1,995mm","3,275mm"
볼보 XC60 플러그인 하이브리드,중형 SUV,2023,"8,590만원","전기, 가솔린, 하이브리드","복합 11.4km/ℓ 도심 11.2, 고속 11.8",462hp/312hp 합산/엔진,72.3kg.m/40.8kg.m 합산/엔진,"1,969cc",I4 싱글터보,AWD,자동8단,"4,710mm","1,645mm","1,900mm","2,865mm"
기아 스포티지,준중형 SUV,2023,"2,492~3,838만원","LPG, 가솔린, 디젤","복합 9~14.5km/ℓ 도심 8.1~12.9, 고속 10.2~17",146~184hp 엔진,19.5~42.5kg.m 엔진,"1,598~1,999cc",I4 싱글터보,"FF, AWD","자동, DCT7단","4,660mm","1,660~1,680mm","1,865mm","2,755mm"
기아 봉고3,중형 트럭,2022,"1,815~2,364만원",디젤,"복합 8.6~9.5km/ℓ 도심 9.3, 고속 9.8",133~135hp 엔진,26.5~30kg.m 엔진,"2,497cc",l4 싱글터보,"FR, AWD","자동5단, 수동6단","4,790~5,455mm","1,995~2,105mm","1,740~1,750mm","2,415~2,810mm"
기아 니로 하이브리드,소형 SUV,2024,"2,713~3,376만원","가솔린, 하이브리드","복합 19.1~20.8km/ℓ 도심 20~21.9, 고속 18.1~19.6",104hp 엔진,14.7kg.m 엔진,"1,580cc",I4 자연흡기,FF,DCT6단,"4,420mm","1,545mm","1,825mm","2,720mm"
볼보 S90,준대형 세단,2023,"6,350~7,350만원",가솔린,"복합 9.9~11.1km/ℓ 도심 8.5~9.6, 고속 12.2~13.7",250~300hp 엔진,35.7~42.8kg.m 엔진,"1,969cc",I4 싱글터보,"FF, AWD",자동8단,"5,090mm","1,450mm","1,880mm","3,060mm"
쉐보레 볼트 EUV,소형 SUV,2023,"4,790~4,985만원",전기,403km 1회 충전 시,"복합 5.5km/kWh 도심 6.1, 고속 5",150kW 모터 201hp (단순환산치),360Nm 모터 36.7kg.m (단순환산치),66kWh 배터리,FF,자동1단,"4,305mm","1,615mm","1,770mm","2,675mm"
메르세데스-벤츠 GLC클래스,중형 SUV,2023,"7,680~8,710만원","가솔린, 디젤","복합 10.8~14.1km/ℓ 도심 9.7~13.3, 고속 12.4~15.4",197~258hp 엔진,40.8~44.9kg.m 엔진,"1,993~1,999cc",I4 싱글터보,AWD,자동9단,"4,720mm","1,645mm","1,890mm","2,890mm"
현대 그랜저,준대형 세단,2023,"3,743~5,103만원","LPG, 가솔린","복합 7.8~11.7km/ℓ 도심 6.7~10, 고속 9.6~14.5",198~300hp 엔진,25.3~36.6kg.m 엔진,"2,497~3,470cc","V6, I4 자연흡기","FF, AWD",자동8단,"5,035mm","1,460mm","1,880mm","2,895mm"
렉서스 NX 하이브리드,중형 SUV,2022,"6,670~7,630만원","가솔린, 하이브리드","복합 14km/ℓ 도심 14.3, 고속 13.6",242hp/189hp 합산/엔진,24.7kg.m 엔진,"2,487cc",I4 자연흡기,AWD,CVT,"4,660mm","1,670mm","1,865mm","2,690mm"
아우디 R8,스포츠카 쿠페,2022,"25,569만원",가솔린,"복합 6km/ℓ 도심 5.1, 고속 7.5",610hp 엔진,57.1kg.m 엔진,"5,204cc",V10 자연흡기,AWD,DCT7단,"4,430mm","1,245mm","1,940mm","2,650mm"
기아 K9,대형 세단,2023,"5,815~7,744만원",가솔린,"복합 8.1~9km/ℓ 도심 7~7.8, 고속 10.1~11",315~370hp 엔진,40.5~52kg.m 엔진,"3,342~3,778cc",V6 자연흡기,"FR, AWD",자동8단,"5,140mm","1,490mm","1,915mm","3,105mm"
메르세데스-벤츠 EQS,대형 세단,2023,"16,390~19,000만원",전기,454~478km 1회 충전 시,"복합 3.5~3.8km/kWh 도심 3.5~3.8, 고속 3.6~3.7",245~265kW 모터 328~355hp (단순환산치),568~800Nm 모터 57.9~81.6kg.m (단순환산치),107.8kWh 배터리,"RR, AWD",자동1단,"5,225mm","1,510~1,520mm","1,925mm","3,210mm"
현대 쏘나타 하이브리드,중형 세단,2024,"3,187~3,921만원","가솔린, 하이브리드","복합 17.1~19.4km/ℓ 도심 16.8~19.8, 고속 17.4~18.9",195hp/152hp 합산/엔진,19.2kg.m 엔진,"1,999cc",I4 자연흡기,FF,자동6단,"4,910mm","1,445mm","1,860mm","2,840mm"
캐딜락 CT5,준대형 세단,2021,"5,428~5,921만원",가솔린,"복합 10.2km/ℓ 도심 8.7, 고속 12.7",240hp 엔진,35.7kg.m 엔진,"1,998cc",I4 싱글터보,FR,자동10단,"4,925mm","1,455mm","1,885mm","2,947mm"
KG 모빌리티 토레스,중형 SUV,2023,"2,852~3,753만원","LPG, 가솔린","복합 8.9~11.2km/ℓ 도심 10.2, 고속 12.5",165~170hp 엔진,27.3~28.6kg.m 엔진,"1,497cc",I4 싱글터보,"FF, AWD",자동6단,"4,700mm","1,720mm","1,890mm","2,680mm"
미니 컨버터블,소형 컨버터블,2024,"4,640만원",가솔린,"복합 12.1km/ℓ 도심 11.1, 고속 13.6",136hp 엔진,22.4kg.m 엔진,"1,499cc",I3 싱글터보,FF,DCT7단,"3,865mm","1,415mm","1,725mm","2,495mm"
랜드로버 디스커버리 스포츠,중형 SUV,2023,"6,370~6,820만원",가솔린,"복합 8.2km/ℓ 도심 7.4, 고속 9.6",249hp 엔진,37.2kg.m 엔진,"1,997cc",I4 싱글터보,AWD,자동9단,"4,597mm","1,727mm","1,904mm","2,741mm"
포르쉐 파나메라 E-하이브리드,대형 세단,2022,"17,360~30,490만원","전기, 가솔린, 하이브리드","복합 7.5~8.6km/ℓ 도심 7.8, 고속 9.9",462~700hp/336~582hp 합산/엔진,71.4~88.8kg.m/45.9~78.6kg.m 합산/엔진,"2,894~3,996cc","V6, V8 트윈터보",AWD,DCT8단,"5,050mm","1,425~1,430mm","1,935mm","2,950mm"
메르세데스-벤츠 GLS클래스,대형 SUV,2023,"15,430~18,080만원","가솔린, 디젤","복합 7.3~9.8km/ℓ 도심 6.7~9, 고속 8.1~11",330~489hp 엔진,71.3~71.4kg.m 엔진,"2,925~3,982cc","I6, V8",AWD,자동9단,"5,215~5,220mm","1,825~1,840mm","2,030mm","3,135mm"
KG 모빌리티 코란도 이모션,준중형 SUV,2022,"3,880~4,390만원",전기,307km 1회 충전 시,"복합 4.9km/kWh 도심 5.4, 고속 4.4",140kW 모터 188hp (단순환산치),360Nm 모터 36.7kg.m (단순환산치),61.5kWh 배터리,FF,자동1단,"4,465mm","1,640mm","1,870mm","2,675mm"
BMW X1,준중형 SUV,2023,"5,770~6,340만원","가솔린, 디젤","복합 11.7~14.6km/ℓ 도심 10.5~13.4, 고속 13.8~16.5",150~204hp 엔진,30.6~36.7kg.m 엔진,"1,995~1,998cc",I4 싱글터보,FF,DCT7단,"4,500mm","1,640mm","1,835mm","2,690mm"
포르쉐 911 타르가,스포츠카 컨버터블,2021,"17,270~24,070만원",가솔린,"복합 8.1~8.2km/ℓ 도심 , 고속",392~458hp 엔진,45.9~54.1kg.m 엔진,"2,981cc",F6 트윈터보,AWD,DCT8단,"4,520mm","1,300mm","1,850mm","2,450mm"
혼다 CR-V,준중형 SUV,2023,"4,260만원",가솔린,"복합 12.1km/ℓ 도심 11.1, 고속 13.8",190hp 엔진,24.5kg.m 엔진,"1,498cc",I4 싱글터보,FF,CVT,"4,705mm","1,680mm","1,865mm","2,700mm"
BMW i4 M 그란쿠페,중형 쿠페,2024,"8,490~9,840만원",전기,378km 1회 충전 시,"복합 4.1km/kWh 도심 4.1, 고속 4.1",400kW 모터 536hp (단순환산치),795Nm 모터 81.1kg.m (단순환산치),84kWh 배터리,AWD,자동1단,"4,785mm","1,450mm","1,850mm","2,855mm"
메르세데스-벤츠 G클래스,중형 SUV,2022,"17,800만원",디젤,"복합 8.2km/ℓ 도심 8, 고속 8.4",330hp 엔진,71.4kg.m 엔진,"2,925cc",I6 트윈터보,AWD,자동9단,"4,875mm","1,965mm","1,985mm","2,890mm"
아우디 S5,중형 쿠페,2022,"8,705만원",가솔린,"복합 9.5km/ℓ 도심 8.2, 고속 11.5",354hp 엔진,50.9kg.m 엔진,"2,995cc",V6 싱글터보,AWD,자동8단,"4,705mm","1,370mm","1,845mm","2,766mm"
BMW X3 M,중형 SUV,2023,"12,180만원",가솔린,"복합 7.7km/ℓ 도심 6.9, 고속 8.9",510hp 엔진,66.3kg.m 엔진,"2,993cc",I6 트윈터보,AWD,토크컨버터8단,"4,715mm","1,670mm","1,895mm","2,865mm"
페라리 296 GTS,스포츠카 컨버터블,2022,"전기, 가솔린, 하이브리드","복합 도심 , 고속",830hp/663hp/122kW 합산/엔진/모터,75.5kg.m 엔진,"2,992cc",V6 자연흡기,MR,DCT8단,"4,565mm","1,191mm","1,958mm","2,600mm",
볼보 XC60,중형 SUV,2023,"6,290~7,300만원",가솔린,"복합 9.1~9.9km/ℓ 도심 8.1~8.9, 고속 10.7~11.3",250~300hp 엔진,35.7~42.8kg.m 엔진,"1,969cc",I4 싱글터보,AWD,자동8단,"4,710mm","1,645mm","1,900mm","2,865mm"
KG 모빌리티 티볼리,소형 SUV,2024,"1,898~2,807만원",가솔린,"복합 10.8~12km/ℓ 도심 9.8~10.8, 고속 12.3~13.8",126~163hp 엔진,15.8~26.5kg.m 엔진,"1,497~1,597cc",I4 싱글터보,"FF, AWD",자동6단,"4,225mm","1,615~1,620mm","1,810mm","2,600mm"
아우디 S4,중형 세단,2023,"8,183만원",가솔린,"복합 9.6km/ℓ 도심 8.4, 고속 11.6",354hp 엔진,50.9kg.m 엔진,"2,995cc",V6 싱글터보,AWD,자동8단,"4,770mm","1,410mm","1,845mm","2,826mm"
메르세데스-벤츠 CLA클래스,준중형 쿠페,2023,"6,100만원",가솔린,"복합 10.8km/ℓ 도심 9.5, 고속 12.8",224hp 엔진,35.7kg.m 엔진,"1,991cc",I4 싱글터보,AWD,DCT7단,"4,695mm","1,445mm","1,830mm","2,730mm"
포르쉐 카이엔 쿠페,준대형 SUV,2022,"12,020~23,410만원",가솔린,"복합 6.5~7.8km/ℓ 도심 7.1, 고속 8.9",342~641hp 엔진,45.9~86.7kg.m 엔진,"2,995~3,996cc","V6, V8 트윈터보",AWD,"자동8단, DCT8단","4,930~4,940mm","1,620~1,653mm","1,985~1,995mm","2,895mm"
링컨 노틸러스,중형 SUV,2022,"7,360만원",가솔린,"복합 8.7km/ℓ 도심 7.5, 고속 10.9",333hp 엔진,54.7kg.m 엔진,"2,694cc",V6 트윈터보,AWD,자동8단,"4,825mm","1,700mm","1,935mm","2,848mm"
로터스 엘리스 S,스포츠카 컨버터블,2018,"8,350만원",가솔린,"복합 7.5ℓ/100km 도심 10.3, 고속 5.9",217hp 엔진,25.7kg.m 엔진,"1,796cc",I4 슈퍼차저,MR,수동6단,"3,824mm","1,117mm","1,719mm","2,300mm"
랜드로버 디펜더 90,중형 SUV,2023,"9,850~10,150만원",디젤,"복합 10.2km/ℓ 도심 9.5, 고속 11.2",249hp 엔진,58.1kg.m 엔진,"2,996cc",I6 싱글터보,AWD,자동8단,"4,583mm","1,969~1,974mm","1,996mm","2,587mm"
현대 스타리아 캠퍼,대형 RV,2022,"5,126~7,265만원",디젤,"복합 도심 , 고속",177hp 엔진,44kg.m 엔진,"2,199cc",I4 싱글터보,"FF, AWD",자동8단,"5,255mm","2,095mm","1,995mm","3,275mm"
아우디 A5 스포트백,중형 쿠페,2023,"5,915~6,907만원","가솔린, 디젤","복합 11.2~15km/ℓ 도심 9.7~13.6, 고속 13.7~17.1",204~265hp 엔진,32.6~40.7kg.m 엔진,"1,968~1,984cc",I4 싱글터보,AWD,자동7단,"4,755~4,765mm","1,400mm","1,845mm","2,825mm"
동풍소콘 펜곤 ix5,중형 SUV,2020,"2,380만원",가솔린,"복합 9.8km/ℓ 도심 8.9, 고속 11.1",150hp 엔진,22.4kg.m 엔진,"1,498cc",I4 싱글터보,FF,CVT,"4,685mm","1,645mm","1,865mm","2,790mm"
미니 해치백 5도어,소형 해치백,2024,"4,150만원",가솔린,"복합 12.4km/ℓ 도심 11.2, 고속 14.3",136hp 엔진,22.4kg.m 엔진,"1,499cc",I3 싱글터보,FF,DCT7단,"4,025mm","1,425mm","1,725mm","2,565mm"
기아 카니발 하이리무진,대형 RV,2022,"6,096~8,729만원","가솔린, 디젤","복합 8.4~11.5km/ℓ 도심 7.4~10.2, 고속 10~13.5",202~294hp 엔진,36.2~45kg.m 엔진,"2,151~3,470cc","I4, V6 자연흡기",FF,자동8단,"5,200mm","2,045mm","1,995mm","3,090mm"
포르쉐 911 GT3,스포츠카 쿠페,2022,"22,000만원",가솔린,"복합 6.5km/ℓ 도심 5.9, 고속 7.3",503hp 엔진,48kg.m 엔진,"3,996cc",F6 자연흡기,RR,DCT7단,"4,575mm","1,290mm","1,850mm","2,450mm"
메르세데스-벤츠 GLE클래스 플러그인 하이브리드,준대형 SUV,2023,"12,300만원","전기, 가솔린, 하이브리드","복합 9km/ℓ 도심 8.8, 고속 9.1",211hp/100kW 엔진/모터,35.7kg.m 엔진,"1,991cc",I4 싱글터보,AWD,자동9단,"4,930mm","1,780mm","2,010mm","2,995mm"
르노코리아 QM6,중형 SUV,2024,"2,680~3,793만원","LPG, 가솔린","복합 8.6~12km/ℓ 도심 7.7~11.1, 고속 9.9~13.5",140~144hp 엔진,19.7~20.4kg.m 엔진,"1,997~1,998cc",I4 자연흡기,FF,CVT,"4,675mm","1,700~1,710mm","1,845mm","2,705mm"
